model,repr,pooling,layer,method,D,tau,dir_acc_at_1,dir_acc_at_2,dir_acc_at_3,dir_acc_at_4,dir_acc_at_5,existing_acc,new_acc,overall_assignment_acc,n_query,n_reference_dirs,n_query_existing,n_query_new,seed
sentence-transformers/LaBSE,hidden,sif,7,sif_abtt_optimal,10,0.1708542713567839,0.4036697247706422,0.46788990825688076,0.5321100917431193,0.5779816513761468,0.6055045871559633,0.4725274725274725,0.05555555555555555,0.4036697247706422,109,50,91,18,44
sentence-transformers/LaBSE,hidden,sif,8,sif_only,10,0.9748743718592965,0.28440366972477066,0.41284403669724773,0.48623853211009177,0.5229357798165137,0.5596330275229358,0.2967032967032967,0.2222222222222222,0.28440366972477066,109,50,91,18,44
sentence-transformers/LaBSE,hidden,sif,8,sif_abtt_fixed,10,0.19095477386934673,0.42201834862385323,0.4954128440366973,0.5321100917431193,0.5871559633027523,0.6422018348623854,0.5054945054945055,0.0,0.42201834862385323,109,50,91,18,44
sentence-transformers/LaBSE,hidden,sif,8,sif_abtt_optimal,3,0.18592964824120603,0.3577981651376147,0.44954128440366975,0.4954128440366973,0.5229357798165137,0.5596330275229358,0.42857142857142855,0.0,0.3577981651376147,109,50,91,18,44
sentence-transformers/LaBSE,hidden,sif,9,sif_only,10,0.9698492462311558,0.30275229357798167,0.41284403669724773,0.5045871559633027,0.5412844036697247,0.5963302752293578,0.3076923076923077,0.2777777777777778,0.30275229357798167,109,50,91,18,44
sentence-transformers/LaBSE,hidden,sif,9,sif_abtt_fixed,10,0.1658291457286432,0.3944954128440367,0.44954128440366975,0.5137614678899083,0.5412844036697247,0.5688073394495413,0.4725274725274725,0.0,0.3944954128440367,109,50,91,18,44
sentence-transformers/LaBSE,hidden,sif,9,sif_abtt_optimal,3,0.20603015075376885,0.4036697247706422,0.45871559633027525,0.5137614678899083,0.5596330275229358,0.5963302752293578,0.4835164835164835,0.0,0.4036697247706422,109,50,91,18,44
sentence-transformers/LaBSE,hidden,sif,10,sif_only,10,0.949748743718593,0.3761467889908257,0.45871559633027525,0.5412844036697247,0.5779816513761468,0.6146788990825688,0.4175824175824176,0.16666666666666666,0.3761467889908257,109,50,91,18,44
sentence-transformers/LaBSE,hidden,sif,10,sif_abtt_fixed,10,0.21608040201005024,0.3853211009174312,0.44036697247706424,0.5229357798165137,0.5596330275229358,0.6146788990825688,0.46153846153846156,0.0,0.3853211009174312,109,50,91,18,44
sentence-transformers/LaBSE,hidden,sif,10,sif_abtt_optimal,3,0.22110552763819097,0.43119266055045874,0.4954128440366973,0.5229357798165137,0.5688073394495413,0.6330275229357798,0.5164835164835165,0.0,0.43119266055045874,109,50,91,18,44
sentence-transformers/LaBSE,hidden,sif,11,sif_only,10,0.9547738693467337,0.3669724770642202,0.44036697247706424,0.5229357798165137,0.5871559633027523,0.6146788990825688,0.4175824175824176,0.1111111111111111,0.3669724770642202,109,50,91,18,44
sentence-transformers/LaBSE,hidden,sif,11,sif_abtt_fixed,10,0.15577889447236182,0.3944954128440367,0.46788990825688076,0.5321100917431193,0.5596330275229358,0.6055045871559633,0.4725274725274725,0.0,0.3944954128440367,109,50,91,18,44
sentence-transformers/LaBSE,hidden,sif,11,sif_abtt_optimal,3,0.18592964824120603,0.41284403669724773,0.5045871559633027,0.5596330275229358,0.6146788990825688,0.6422018348623854,0.4945054945054945,0.0,0.41284403669724773,109,50,91,18,44
sentence-transformers/LaBSE,hidden,sif,12,sif_only,10,0.9095477386934674,0.4036697247706422,0.48623853211009177,0.5688073394495413,0.6697247706422018,0.6880733944954128,0.4065934065934066,0.3888888888888889,0.4036697247706422,109,50,91,18,44
sentence-transformers/LaBSE,hidden,sif,12,sif_abtt_fixed,10,0.1708542713567839,0.42201834862385323,0.5504587155963303,0.5871559633027523,0.5871559633027523,0.6605504587155964,0.5054945054945055,0.0,0.42201834862385323,109,50,91,18,44
sentence-transformers/LaBSE,hidden,sif,12,sif_abtt_optimal,3,0.15577889447236182,0.45871559633027525,0.5045871559633027,0.5688073394495413,0.6422018348623854,0.6697247706422018,0.5494505494505495,0.0,0.45871559633027525,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,1,baseline,10,0.9798994974874372,0.21100917431192662,0.3119266055045872,0.3486238532110092,0.4036697247706422,0.43119266055045874,0.21978021978021978,0.16666666666666666,0.21100917431192662,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,2,baseline,10,0.9849246231155779,0.22018348623853212,0.30275229357798167,0.3761467889908257,0.44036697247706424,0.48623853211009177,0.24175824175824176,0.1111111111111111,0.22018348623853212,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,3,baseline,10,0.9798994974874372,0.22935779816513763,0.3302752293577982,0.4036697247706422,0.46788990825688076,0.5229357798165137,0.24175824175824176,0.16666666666666666,0.22935779816513763,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,4,baseline,10,0.9798994974874372,0.22935779816513763,0.3302752293577982,0.3944954128440367,0.44954128440366975,0.4954128440366973,0.24175824175824176,0.16666666666666666,0.22935779816513763,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,5,baseline,10,0.9798994974874372,0.25688073394495414,0.3486238532110092,0.41284403669724773,0.47706422018348627,0.5137614678899083,0.27472527472527475,0.16666666666666666,0.25688073394495414,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,6,baseline,10,0.9849246231155779,0.26605504587155965,0.3761467889908257,0.43119266055045874,0.5137614678899083,0.5504587155963303,0.24175824175824176,0.3888888888888889,0.26605504587155965,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,7,baseline,10,0.9849246231155779,0.26605504587155965,0.4036697247706422,0.48623853211009177,0.5321100917431193,0.5779816513761468,0.24175824175824176,0.3888888888888889,0.26605504587155965,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,8,baseline,10,0.9798994974874372,0.28440366972477066,0.42201834862385323,0.5137614678899083,0.5779816513761468,0.6146788990825688,0.27472527472527475,0.3333333333333333,0.28440366972477066,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,9,baseline,10,0.9798994974874372,0.26605504587155965,0.43119266055045874,0.5229357798165137,0.5688073394495413,0.6146788990825688,0.26373626373626374,0.2777777777777778,0.26605504587155965,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,10,baseline,10,0.9798994974874372,0.3486238532110092,0.44954128440366975,0.5412844036697247,0.6055045871559633,0.6238532110091743,0.37362637362637363,0.2222222222222222,0.3486238532110092,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,11,baseline,10,0.9849246231155779,0.3211009174311927,0.48623853211009177,0.5596330275229358,0.6146788990825688,0.6146788990825688,0.3076923076923077,0.3888888888888889,0.3211009174311927,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,12,baseline,10,0.9849246231155779,0.3944954128440367,0.47706422018348627,0.5688073394495413,0.6055045871559633,0.6146788990825688,0.4065934065934066,0.3333333333333333,0.3944954128440367,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,13,baseline,10,0.9849246231155779,0.4036697247706422,0.5045871559633027,0.5688073394495413,0.6055045871559633,0.6422018348623854,0.4175824175824176,0.3333333333333333,0.4036697247706422,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,14,baseline,10,0.9849246231155779,0.43119266055045874,0.5321100917431193,0.5596330275229358,0.5963302752293578,0.6238532110091743,0.43956043956043955,0.3888888888888889,0.43119266055045874,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,15,baseline,10,0.9849246231155779,0.41284403669724773,0.5412844036697247,0.5871559633027523,0.6055045871559633,0.6697247706422018,0.43956043956043955,0.2777777777777778,0.41284403669724773,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,16,baseline,10,0.9849246231155779,0.3486238532110092,0.5229357798165137,0.5871559633027523,0.6330275229357798,0.6697247706422018,0.34065934065934067,0.3888888888888889,0.3486238532110092,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,17,baseline,10,0.9798994974874372,0.3853211009174312,0.5321100917431193,0.5688073394495413,0.6238532110091743,0.6605504587155964,0.38461538461538464,0.3888888888888889,0.3853211009174312,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,18,baseline,10,0.9798994974874372,0.4036697247706422,0.5137614678899083,0.5871559633027523,0.6146788990825688,0.6238532110091743,0.4065934065934066,0.3888888888888889,0.4036697247706422,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,19,baseline,10,0.9748743718592965,0.44036697247706424,0.5229357798165137,0.5963302752293578,0.6238532110091743,0.6422018348623854,0.46153846153846156,0.3333333333333333,0.44036697247706424,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,20,baseline,10,0.9748743718592965,0.42201834862385323,0.4954128440366973,0.5596330275229358,0.6146788990825688,0.6422018348623854,0.42857142857142855,0.3888888888888889,0.42201834862385323,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,21,baseline,10,0.9698492462311558,0.4036697247706422,0.48623853211009177,0.5504587155963303,0.6055045871559633,0.6513761467889908,0.4175824175824176,0.3333333333333333,0.4036697247706422,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,22,baseline,10,0.9698492462311558,0.41284403669724773,0.46788990825688076,0.5412844036697247,0.5871559633027523,0.6422018348623854,0.43956043956043955,0.2777777777777778,0.41284403669724773,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,23,baseline,10,0.9748743718592965,0.3944954128440367,0.47706422018348627,0.4954128440366973,0.5779816513761468,0.6330275229357798,0.4175824175824176,0.2777777777777778,0.3944954128440367,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,24,baseline,10,0.9798994974874372,0.3853211009174312,0.44954128440366975,0.48623853211009177,0.5596330275229358,0.6238532110091743,0.4065934065934066,0.2777777777777778,0.3853211009174312,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,25,baseline,10,0.9849246231155779,0.3761467889908257,0.43119266055045874,0.4954128440366973,0.6238532110091743,0.6513761467889908,0.38461538461538464,0.3333333333333333,0.3761467889908257,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,26,baseline,10,0.9849246231155779,0.3853211009174312,0.46788990825688076,0.5045871559633027,0.5688073394495413,0.6330275229357798,0.4065934065934066,0.2777777777777778,0.3853211009174312,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,27,baseline,10,0.9899497487437187,0.4036697247706422,0.48623853211009177,0.5412844036697247,0.6055045871559633,0.6788990825688074,0.37362637362637363,0.5555555555555556,0.4036697247706422,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,mean,28,baseline,10,0.949748743718593,0.3761467889908257,0.48623853211009177,0.5321100917431193,0.5871559633027523,0.6605504587155964,0.32967032967032966,0.6111111111111112,0.3761467889908257,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,sif,1,sif_only,10,0.8592964824120604,0.23853211009174313,0.3119266055045872,0.3669724770642202,0.4036697247706422,0.45871559633027525,0.2857142857142857,0.0,0.23853211009174313,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,sif,1,sif_abtt_fixed,10,0.20100502512562815,0.4036697247706422,0.5045871559633027,0.6055045871559633,0.6697247706422018,0.7522935779816514,0.43956043956043955,0.2222222222222222,0.4036697247706422,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,sif,1,sif_abtt_optimal,3,0.15075376884422112,0.3944954128440367,0.43119266055045874,0.4954128440366973,0.5504587155963303,0.6422018348623854,0.4725274725274725,0.0,0.3944954128440367,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,sif,2,sif_only,10,0.914572864321608,0.22935779816513763,0.3119266055045872,0.3577981651376147,0.4036697247706422,0.46788990825688076,0.27472527472527475,0.0,0.22935779816513763,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,sif,2,sif_abtt_fixed,10,0.17587939698492464,0.3761467889908257,0.44954128440366975,0.5596330275229358,0.6330275229357798,0.6880733944954128,0.43956043956043955,0.05555555555555555,0.3761467889908257,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,sif,2,sif_abtt_optimal,3,0.15577889447236182,0.42201834862385323,0.4954128440366973,0.5596330275229358,0.5688073394495413,0.6238532110091743,0.5054945054945055,0.0,0.42201834862385323,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,sif,3,sif_only,10,0.8894472361809045,0.27522935779816515,0.30275229357798167,0.3761467889908257,0.42201834862385323,0.44036697247706424,0.32967032967032966,0.0,0.27522935779816515,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,sif,3,sif_abtt_fixed,10,0.19597989949748745,0.3944954128440367,0.46788990825688076,0.5779816513761468,0.6513761467889908,0.7247706422018348,0.4065934065934066,0.3333333333333333,0.3944954128440367,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,sif,3,sif_abtt_optimal,5,0.15075376884422112,0.3761467889908257,0.48623853211009177,0.5412844036697247,0.6055045871559633,0.6697247706422018,0.45054945054945056,0.0,0.3761467889908257,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,sif,4,sif_only,10,0.9748743718592965,0.24770642201834864,0.3211009174311927,0.3853211009174312,0.44954128440366975,0.48623853211009177,0.25274725274725274,0.2222222222222222,0.24770642201834864,109,50,91,18,44
Qwen/Qwen3-Embedding-0.6B,hidden,sif,4,sif_abtt_fixed,10,0.135678391959799,0.3944954128440367,0.48623853211009177,0.5229357798165137,0.6238532110091743,0.6880733944954128,0.4725274725274725,0.0,0.3944954128440367,109,50,91,18,44
