model,model_display,repr,pooling,layer,split,D,embedding_path,split_csv,token_filter,view,n,dim,anisotropy_mean_cosine,cosine_mean,cosine_std,cosine_p05,cosine_p50,cosine_p95,cosine_iqr,pc1_variance_ratio,pc10_cumulative_variance_ratio,effective_rank_entropy,delta_anisotropy_mean_cosine,delta_pc1_variance_ratio,delta_pc10_cumulative_variance_ratio,delta_effective_rank_entropy,delta_cosine_std,delta_cosine_iqr,D__abtt_optimal,D__baseline,aucroc__abtt_optimal,aucroc__baseline,dir_acc_at_1__abtt_optimal,dir_acc_at_1__baseline,dir_acc_at_3__abtt_optimal,dir_acc_at_3__baseline,existing_acc__abtt_optimal,existing_acc__baseline,gap__abtt_optimal,gap__baseline,new_acc__abtt_optimal,new_acc__baseline,overall_assignment_acc__abtt_optimal,overall_assignment_acc__baseline,tau__abtt_optimal,tau__baseline,train_aucroc__abtt_optimal,train_aucroc__baseline,train_dir_acc_at_1__abtt_optimal,train_dir_acc_at_1__baseline,aucroc_gain__abtt_optimal_minus_baseline,gap_gain__abtt_optimal_minus_baseline,dir_acc_at_1_gain__abtt_optimal_minus_baseline,dir_acc_at_3_gain__abtt_optimal_minus_baseline,overall_assignment_acc_gain__abtt_optimal_minus_baseline,existing_acc_gain__abtt_optimal_minus_baseline,new_acc_gain__abtt_optimal_minus_baseline,mseed_baseline_dir_acc_at_1_mean,mseed_baseline_dir_acc_at_1_std,mseed_baseline_overall_assignment_acc_mean,mseed_baseline_overall_assignment_acc_std,model_group
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,KaLM-mini,hidden,mean,1,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/KaLM-Embedding_KaLM-embedding-multilingual-mini-instruct-v2.5/hidden_mean_tokempty/hidden_layer1_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,896,0.8863014697373255,0.8863014697373255,0.0497409621077723,0.8056974053343402,0.8935327036195087,0.9464707059958136,0.0553157837255926,0.1505718809187813,0.4052771931047159,96.04162236472186,-0.8847173153144866,-0.1208829197142892,-0.184030094445486,78.91987450344195,0.0414383251345953,0.0612606187571084,10,10,0.9806189648178008,0.8872841636449749,0.902097902097902,0.5769230769230769,0.9557109557109555,0.8811188811188811,0.9214953271028036,0.3906542056074766,0.5676946127205156,0.0634751915931701,0.9195046439628484,0.9071207430340558,0.9207459207459208,0.585081585081585,0.4120603015075377,0.9748743718592964,0.9866659980523432,0.8910038289137664,0.8842975206611571,0.5938606847697757,0.09333480117282589,0.5042194211273455,0.3251748251748251,0.0745920745920744,0.33566433566433573,0.530841121495327,0.012383900928792602,0.596275174015849,0.012042998809322,0.596275174015849,0.012042998809322,appendix
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,KaLM-mini,hidden,mean,2,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/KaLM-Embedding_KaLM-embedding-multilingual-mini-instruct-v2.5/hidden_mean_tokempty/hidden_layer2_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,896,0.922377313814042,0.922377313814042,0.031986221021794,0.8690531618219387,0.9267622841571166,0.9620973980636012,0.0355479993886117,0.0956202099801531,0.3589075372720722,119.960819905083,-0.921156364411169,-0.0671623392119333,-0.1401220214202465,67.30312316932515,0.0571422380046673,0.0775404513727918,10,10,0.9828783015669368,0.9064279430075166,0.8787878787878788,0.6072261072261073,0.9615384615384616,0.8764568764568764,0.9158878504672896,0.4934579439252336,0.565864081523614,0.0441954135894775,0.8792569659442725,0.848297213622291,0.902097902097902,0.627039627039627,0.4020100502512563,0.9798994974874372,0.9846082080044316,0.9023352955036164,0.885478158205431,0.6186540731995277,0.07645035855942017,0.5216686679341365,0.2715617715617715,0.08508158508158514,0.27505827505827496,0.422429906542056,0.03095975232198145,0.620472666561035,0.0183162013983114,0.620472666561035,0.0183162013983114,appendix
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,KaLM-mini,hidden,mean,3,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/KaLM-Embedding_KaLM-embedding-multilingual-mini-instruct-v2.5/hidden_mean_tokempty/hidden_layer3_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,896,0.8880378703253311,0.8880378703253311,0.0543514545393779,0.7990215208533121,0.897794288987354,0.9486989555702502,0.0531642173907204,0.3071636911112808,0.540969096769363,52.83154149217501,-0.8868881994538971,-0.2816626904911103,-0.3366818596404327,144.68460544145532,0.0307462058068192,0.0546563037174247,10,10,0.9806110499671312,0.8811417047071654,0.8939393939393939,0.5874125874125874,0.9662004662004662,0.8741258741258742,0.9233644859813084,0.4429906542056074,0.5511139400477987,0.0618524551391601,0.9071207430340558,0.8699690402476781,0.9172494172494172,0.6037296037296037,0.3969849246231156,0.9748743718592964,0.9851845340897812,0.8569881213919935,0.8937426210153483,0.5974025974025974,0.09946934525996587,0.4892614849086386,0.30652680652680653,0.09207459207459201,0.3135198135198135,0.480373831775701,0.037151702786377694,0.6046590019974527,0.0112970596745691,0.6046590019974527,0.0112970596745691,appendix
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,KaLM-mini,hidden,mean,4,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/KaLM-Embedding_KaLM-embedding-multilingual-mini-instruct-v2.5/hidden_mean_tokempty/hidden_layer4_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,896,0.8896161907921468,0.8896161907921468,0.0588896176124894,0.7939539747867767,0.9008797446194016,0.951681720332391,0.0541462897061907,0.2304163656726872,0.531503412551935,60.39721222252258,-0.8883811805165518,-0.2029565436927399,-0.3179616889532419,126.49718311760266,0.0292301499900906,0.0576435259658054,10,10,0.9831949047359156,0.871069811533578,0.8869463869463869,0.5384615384615384,0.9662004662004662,0.8461538461538461,0.930841121495327,0.308411214953271,0.5531258925038856,0.0604345202445983,0.8947368421052632,0.934984520123839,0.9172494172494172,0.5442890442890443,0.3869346733668342,0.9798994974874372,0.9856576240785072,0.8553511699645647,0.8748524203069658,0.538370720188902,0.11212509320233766,0.4926913722592873,0.3484848484848485,0.12004662004662003,0.3729603729603729,0.622429906542056,-0.04024767801857587,0.5622194909806877,0.0153910731977926,0.5622194909806877,0.0153910731977926,appendix
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,KaLM-mini,hidden,mean,5,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/KaLM-Embedding_KaLM-embedding-multilingual-mini-instruct-v2.5/hidden_mean_tokempty/hidden_layer5_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,896,0.8871711935548503,0.8871711935548503,0.06693397905253,0.7781215268670103,0.9015584914167588,0.9539137760149188,0.0584039737717133,0.3958267391475311,0.6734579353775935,26.6308856629348,-0.8860709901360831,-0.3668472574226507,-0.4509394768022542,149.73170774899154,0.024753526641105,0.0590212077815861,10,10,0.9825218704488464,0.8613689038439671,0.8822843822843823,0.5244755244755245,0.958041958041958,0.8146853146853147,0.9046728971962616,0.3383177570093458,0.5406602754810592,0.062031090259552,0.9226006191950464,0.8823529411764706,0.9114219114219114,0.5431235431235432,0.4221105527638191,0.9798994974874372,0.9865792777520546,0.8461856847529315,0.8842975206611571,0.5242030696576151,0.12115296660487929,0.4786291852215072,0.35780885780885785,0.14335664335664333,0.36829836829836826,0.5663551401869158,0.04024767801857587,0.5497028702625996,0.0125159358701988,0.5497028702625996,0.0125159358701988,appendix
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,KaLM-mini,hidden,mean,6,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/KaLM-Embedding_KaLM-embedding-multilingual-mini-instruct-v2.5/hidden_mean_tokempty/hidden_layer6_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,896,0.886052288064572,0.886052288064572,0.0634684017215912,0.7853078984490368,0.8990917426636778,0.9503016891501204,0.0550982298269886,0.3693425329504599,0.6405091674053177,32.331680132781194,-0.8849636534146622,-0.3405062042990436,-0.4241613113436875,147.7416801860204,0.0266601276773914,0.0600524012809363,10,10,0.9828492842570598,0.8721658183659385,0.8764568764568764,0.4895104895104895,0.9615384615384616,0.8414918414918415,0.8953271028037383,0.2560747663551402,0.528698145004455,0.0625232458114624,0.9195046439628484,0.9102167182662538,0.9044289044289044,0.5023310023310024,0.4221105527638191,0.9798994974874372,0.9832564608281232,0.8551237734745228,0.8866587957497049,0.5206611570247934,0.11068346589112121,0.4661748991929926,0.38694638694638694,0.12004662004662003,0.4020979020979021,0.639252336448598,0.009287925696594534,0.5221708958731253,0.0158118693725625,0.5221708958731253,0.0158118693725625,appendix
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,KaLM-mini,hidden,mean,7,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/KaLM-Embedding_KaLM-embedding-multilingual-mini-instruct-v2.5/hidden_mean_tokempty/hidden_layer7_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,896,0.871735869788774,0.871735869788774,0.0645207518998457,0.766187780351994,0.8845342724660885,0.939648080732196,0.0585862853488799,0.3274585014764215,0.5968926667914481,40.60374250347585,-0.8704224172673756,-0.2947276807011126,-0.368668771495988,133.62859717170437,0.0283257622887292,0.0608323572516502,10,10,0.9790755117985168,0.8882110171137585,0.872960372960373,0.5920745920745921,0.9557109557109555,0.8613053613053613,0.8635514018691589,0.4747663551401869,0.5244108768820297,0.0719320178031921,0.9442724458204336,0.8544891640866873,0.8939393939393939,0.6177156177156177,0.4422110552763819,0.9698492462311558,0.981243908624996,0.8717611326016576,0.8772136953955135,0.602125147579693,0.09086449468475832,0.4524788590788376,0.28088578088578087,0.09440559440559426,0.27622377622377625,0.388785046728972,0.08978328173374628,0.603712791960897,0.0176345159807631,0.603712791960897,0.0176345159807631,appendix
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,KaLM-mini,hidden,mean,8,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/KaLM-Embedding_KaLM-embedding-multilingual-mini-instruct-v2.5/hidden_mean_tokempty/hidden_layer8_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,896,0.8713161194911093,0.8713161194911093,0.0619588514034485,0.7685211827177908,0.8831990731573273,0.9379723450321196,0.0579093569741618,0.2906376057510045,0.5711749736697815,47.12042941560233,-0.8700515443143844,-0.2572198405068486,-0.337718188722279,125.0949690154788,0.0320216831573664,0.0629003016228829,10,10,0.9761156136293444,0.8898009261696329,0.8601398601398601,0.5967365967365967,0.9603729603729604,0.8566433566433567,0.8616822429906542,0.4672897196261682,0.5236603122903034,0.0717519521713256,0.913312693498452,0.8699690402476781,0.8811188811188811,0.6188811188811189,0.4422110552763819,0.9698492462311558,0.9808509311336812,0.8772135521163424,0.8701298701298701,0.6068476977567887,0.08631468745971149,0.45190836011897784,0.26340326340326337,0.10372960372960371,0.2622377622377623,0.394392523364486,0.04334365325077394,0.6074139399743428,0.0136199169254494,0.6074139399743428,0.0136199169254494,appendix
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,KaLM-mini,hidden,mean,9,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/KaLM-Embedding_KaLM-embedding-multilingual-mini-instruct-v2.5/hidden_mean_tokempty/hidden_layer9_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,896,0.8778484294026268,0.8778484294026268,0.0549946341138993,0.7840501535971719,0.8883893219006194,0.938061741539076,0.0525418824387757,0.2768114656458831,0.5725101068119539,48.26283332862344,-0.8766139455003783,-0.2406657051736507,-0.3322478277310429,122.6350093326284,0.0403800059952576,0.0702498212752284,10,10,0.9740671186284858,0.892197398048724,0.8426573426573427,0.6013986013986014,0.9522144522144522,0.8508158508158508,0.8728971962616823,0.4691588785046729,0.5072998437099159,0.0663318037986755,0.8699690402476781,0.8854489164086687,0.8717948717948718,0.6258741258741258,0.4221105527638191,0.9698492462311558,0.979852252397388,0.8830049338591339,0.8417945690672963,0.6033057851239669,0.08186972057976183,0.4409680399112404,0.24125874125874136,0.10139860139860146,0.24592074592074598,0.40373831775700936,-0.015479876160990669,0.6143980411852785,0.0106216790273076,0.6143980411852785,0.0106216790273076,appendix
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,KaLM-mini,hidden,mean,10,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/KaLM-Embedding_KaLM-embedding-multilingual-mini-instruct-v2.5/hidden_mean_tokempty/hidden_layer10_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,896,0.8766228205323324,0.8766228205323324,0.0560574237398912,0.7794188561476068,0.8878933068095267,0.9377166965773498,0.053697947966885,0.2826348639573411,0.5844807890780493,46.17504386539224,-0.8755756584050357,-0.2476711637381472,-0.3471572629107441,128.51636907611552,0.0384350333320832,0.067993598332283,10,10,0.97116824000398,0.892529120113799,0.8438228438228438,0.583916083916084,0.9522144522144522,0.837995337995338,0.874766355140187,0.4485981308411215,0.4943724093318451,0.066790223121643,0.8699690402476781,0.8854489164086687,0.872960372960373,0.6130536130536131,0.4221105527638191,0.9698492462311558,0.9792385208535924,0.8856994875155325,0.8406139315230224,0.6033057851239669,0.07863911989018102,0.4275821862102021,0.2599067599067598,0.11421911421911424,0.25990675990675993,0.4261682242990655,-0.015479876160990669,0.6022793093571369,0.0131858458628655,0.6022793093571369,0.0131858458628655,appendix
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,KaLM-mini,hidden,mean,11,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/KaLM-Embedding_KaLM-embedding-multilingual-mini-instruct-v2.5/hidden_mean_tokempty/hidden_layer11_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,896,0.8841389913684603,0.8841389913684603,0.0486753382162531,0.7985452286112158,0.8939498068041674,0.9385140839101656,0.0484059711652162,0.2552179207183362,0.5713711927709372,50.93622488678568,-0.8832021420657314,-0.2217857105038101,-0.3317946442129473,125.45368107476811,0.0455648777613225,0.0732308486623329,10,10,0.9701559916274364,0.8941447438635475,0.8356643356643356,0.5862470862470862,0.9393939393939394,0.8333333333333334,0.8616822429906542,0.4579439252336448,0.4747416697937296,0.0611189603805542,0.8637770897832817,0.8854489164086687,0.8624708624708625,0.6188811188811189,0.4120603015075377,0.9698492462311558,0.9783547327850036,0.8943482875672271,0.8311688311688312,0.5985832349468713,0.0760112477638889,0.4136227094131754,0.2494172494172494,0.10606060606060608,0.2435897435897436,0.4037383177570094,-0.021671826625387025,0.6013437438296301,0.0124822188558319,0.6013437438296301,0.0124822188558319,appendix
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,KaLM-mini,hidden,mean,12,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/KaLM-Embedding_KaLM-embedding-multilingual-mini-instruct-v2.5/hidden_mean_tokempty/hidden_layer12_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,896,0.8696984196573339,0.8696984196573339,0.050945695089629,0.7810540790984294,0.8793669549452088,0.928458182419268,0.0526396173484983,0.2342148803235694,0.5526766167377248,55.94184540250573,-0.8686478222325357,-0.2014485321777679,-0.3103686016351815,121.24267311687946,0.0438939760993074,0.0697657744344129,10,10,0.970415015000596,0.9050501624631092,0.8496503496503497,0.6223776223776224,0.9463869463869464,0.8578088578088578,0.8616822429906542,0.5065420560747663,0.4754557658743579,0.0707105994224548,0.9040247678018576,0.8947368421052632,0.8776223776223776,0.6526806526806527,0.4120603015075377,0.964824120603015,0.9770485005309496,0.9037389279100828,0.8417945690672963,0.6387249114521841,0.0653648525374868,0.40474516645190306,0.2272727272727273,0.08857808857808858,0.22494172494172493,0.3551401869158879,0.009287925696594423,0.639585016271138,0.0102920065264613,0.639585016271138,0.0102920065264613,appendix
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,KaLM-mini,hidden,mean,13,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/KaLM-Embedding_KaLM-embedding-multilingual-mini-instruct-v2.5/hidden_mean_tokempty/hidden_layer13_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,896,0.8756861572052392,0.8756861572052392,0.0499345051829367,0.7904037085570076,0.885207033936207,0.9320332607330778,0.0505745859998447,0.2345231982734727,0.5543554750083605,55.278105498193554,-0.874579989769121,-0.2031716601333452,-0.305717542561688,118.06123582008374,0.0464541959799858,0.0740328429586265,10,10,0.9677065476160982,0.9003273118727988,0.8403263403263403,0.6328671328671329,0.9393939393939394,0.8391608391608392,0.8598130841121495,0.5401869158878505,0.4671382041415199,0.0662407279014587,0.8699690402476781,0.8947368421052632,0.8636363636363636,0.6736596736596736,0.4120603015075377,0.964824120603015,0.9759153971653192,0.9019274721025043,0.8288075560802833,0.641086186540732,0.0673792357432994,0.4008974762400612,0.20745920745920743,0.10023310023310028,0.18997668997669004,0.319626168224299,-0.024767801857585092,0.6446758248202621,0.0106749940082364,0.6446758248202621,0.0106749940082364,appendix
