model,repr,pooling,layer,method,D,sif_a,tau,aucroc,spearman,same_avg,diff_avg,gap,acc_at_1,acc_at_3,existing_acc,new_acc,overall_assignment_acc,n_train,n_test,n_existing,n_new
bowphs/LaTa,hidden,mean,0,baseline,10,0.001,0.9195979899497487,0.9298604919654527,0.049114785371906076,0.8627466559410095,0.6605082750320435,0.20223838090896606,0.80625,0.853125,0.390625,0.9623824451410659,0.676056338028169,639,639,320,319
bowphs/LaTa,hidden,mean,0,whitening,10,0.001,0.0,0.561635272801716,0.007042322551728963,0.12617188692092896,0.0016492011491209269,0.12452268577180803,0.08125,0.128125,1.0,0.0,0.5007824726134585,639,639,320,319
bowphs/LaTa,hidden,mean,1,baseline,10,0.001,0.9447236180904522,0.8671459534321055,0.041949178954604656,0.8512058854103088,0.6431891322135925,0.2080167531967163,0.690625,0.75625,0.3,0.9090909090909091,0.6040688575899843,639,639,320,319
bowphs/LaTa,hidden,mean,1,whitening,10,0.001,0.0,0.5359997224103716,0.0041132415889650175,0.04654180631041527,-0.0012439934071153402,0.04778579971753061,0.159375,0.1875,1.0,0.0,0.5007824726134585,639,639,320,319
bowphs/LaTa,hidden,mean,2,baseline,10,0.001,0.9949748743718593,0.5712065180557806,0.008135878771747948,0.9032986164093018,0.8633027076721191,0.03999590873718262,0.203125,0.234375,0.184375,0.9090909090909091,0.5461658841940532,639,639,320,319
bowphs/LaTa,hidden,mean,2,whitening,10,0.001,0.0,0.5330204012448794,0.0037728285175631362,0.06756778061389923,-0.0016206040745601058,0.06918838468845934,0.15,0.184375,1.0,0.0,0.5007824726134585,639,639,320,319
bowphs/LaTa,hidden,mean,3,baseline,10,0.001,0.8492462311557789,0.480323456956286,-0.0022481926265249695,0.9493315815925598,0.9162795543670654,0.033052027225494385,0.075,0.096875,0.99375,0.01567398119122257,0.5054773082942097,639,639,320,319
bowphs/LaTa,hidden,mean,3,whitening,10,0.001,0.0,0.5731484729760923,0.008357761687268903,0.14690597355365753,0.012092884629964828,0.1348130889236927,0.171875,0.203125,1.0,0.0,0.5007824726134585,639,639,320,319
bowphs/LaTa,hidden,mean,4,baseline,10,0.001,0.8442211055276382,0.46779672722978605,-0.0036794654544406655,0.9336580634117126,0.9046412706375122,0.02901679277420044,0.059375,0.078125,1.0,0.01567398119122257,0.5086071987480438,639,639,320,319
bowphs/LaTa,hidden,mean,4,whitening,10,0.001,0.0,0.540605635175641,0.004639498381203616,0.015616409480571747,-0.0014032396720722318,0.01701964915264398,0.153125,0.171875,1.0,0.0,0.5007824726134585,639,639,320,319
bowphs/LaTa,hidden,mean,5,baseline,10,0.001,0.8190954773869347,0.46759810286912373,-0.0037021597774242938,0.9325103759765625,0.9031919836997986,0.029318392276763916,0.04375,0.06875,1.0,0.009404388714733543,0.5054773082942097,639,639,320,319
bowphs/LaTa,hidden,mean,5,whitening,10,0.001,0.0,0.5849242860351843,0.00970323665363857,0.17049430310726166,-0.00020681590831372887,0.1707011190155754,0.121875,0.1625,1.0,0.0,0.5007824726134585,639,639,320,319
bowphs/LaTa,hidden,mean,6,baseline,10,0.001,0.8190954773869347,0.46567165562568735,-0.003922270824294118,0.9324175715446472,0.9035477042198181,0.0288698673248291,0.03125,0.046875,1.0,0.003134796238244514,0.5023474178403756,639,639,320,319
bowphs/LaTa,hidden,mean,6,whitening,10,0.001,0.0,0.5598070592803402,0.0068334051053311,0.06439144909381866,-0.00035710245720110834,0.06474855155101977,0.14375,0.16875,1.0,0.0,0.5007824726134585,639,639,320,319
bowphs/LaTa,hidden,mean,7,baseline,10,0.001,0.8140703517587939,0.46370158336256784,-0.004147366356881339,0.9326509833335876,0.904167115688324,0.028483867645263672,0.034375,0.04375,1.0,0.003134796238244514,0.5023474178403756,639,639,320,319
bowphs/LaTa,hidden,mean,7,whitening,10,0.001,0.010050251256281407,0.5509518881957113,0.005821635392913613,0.1245882511138916,-0.0008396021439693868,0.125427853257861,0.14375,0.175,1.0,0.0,0.5007824726134585,639,639,320,319
bowphs/LaTa,hidden,mean,8,baseline,10,0.001,0.8140703517587939,0.46344200122212,-0.004177025563401866,0.9147970080375671,0.8912865519523621,0.023510456085205078,0.034375,0.046875,1.0,0.003134796238244514,0.5023474178403756,639,639,320,319
bowphs/LaTa,hidden,mean,8,whitening,10,0.001,0.0,0.5418703957298097,0.004784006760798366,0.03053741157054901,-0.0014821861404925585,0.03201959771104157,0.128125,0.146875,1.0,0.0,0.5007824726134585,639,639,320,319
